date,Co21EmisFR,Co21EmisUK,Co22EmisFR,Co22EmisUK
2020-10-01 03:17:00,15.402,39.85940333333333,15.402,39.85940333333333
2020-10-01 03:18:00,15.299999999999999,39.717439999999996,15.299999999999999,39.717439999999996
2020-10-01 03:19:00,15.197999999999999,39.39212,15.197999999999999,39.39212
2020-10-01 03:20:00,15.096000000000002,39.222222222222165,15.096000000000002,39.222222222222165
2020-10-01 03:21:00,15.096000000000002,38.94112,15.096000000000002,38.94112
2020-10-01 03:22:00,14.994,38.57097777777772,14.994,38.57097777777772
2020-10-01 03:23:00,14.994,38.33780370370373,14.994,38.33780370370373
2020-10-01 03:24:00,14.994,38.26392,14.994,38.26392
2020-10-01 03:25:00,14.994,38.26044444444439,14.994,38.26044444444439
2020-10-01 03:26:00,14.994,38.12903333333334,14.994,38.12903333333334
2020-10-01 03:27:00,14.994,38.053200000000004,14.994,38.053200000000004
2020-10-01 03:28:00,14.79,37.89386666666667,14.79,37.89386666666667
2020-10-01 03:29:00,11.118,37.684376666666665,11.118,37.684376666666665
2020-10-01 03:30:00,14.178,37.68633333333339,14.178,37.68633333333339
2020-10-01 03:31:00,14.178,37.69942333333333,14.178,37.69942333333333
2020-10-01 03:32:00,14.178,37.640119999999996,14.178,37.640119999999996
2020-10-01 03:33:00,14.178,37.48053,14.178,37.48053
2020-10-01 03:34:00,14.076,37.51214814814807,14.076,37.51214814814807
2020-10-01 03:35:00,14.076,34.362037037037105,14.076,34.362037037037105
2020-10-01 03:36:00,13.973999999999998,28.541039999999995,13.973999999999998,28.541039999999995
2020-10-01 03:37:00,13.872000000000002,28.578318518518536,13.872000000000002,28.578318518518536
2020-10-01 03:38:00,13.770000000000001,28.56914666666667,13.770000000000001,28.56914666666667
2020-10-01 03:39:00,13.872000000000002,28.625030000000002,13.872000000000002,28.625030000000002
2020-10-01 03:40:00,10.302,28.630733333333335,10.302,28.630733333333335
2020-10-01 03:41:00,10.098,28.601103703703725,10.098,28.601103703703725
2020-10-01 03:42:00,10.098,28.64214,10.098,28.64214
2020-10-01 03:43:00,10.098,28.564126666666667,10.098,28.564126666666667
2020-10-01 03:44:00,10.098,28.67401481481478,10.098,28.67401481481478
2020-10-01 03:45:00,10.098,28.52525,10.098,28.52525
2020-10-01 03:46:00,10.111200000000002,28.648200000000003,10.111200000000002,28.648200000000003
2020-10-01 03:47:00,10.1244,28.6539,10.1244,28.6539
2020-10-01 03:48:00,10.1376,28.6596,10.1376,28.6596
2020-10-01 03:49:00,10.253333333333334,28.665300000000002,10.253333333333334,28.665300000000002
2020-10-01 03:50:00,10.266666666666667,28.566208333333332,10.266666666666667,28.566208333333332
2020-10-01 03:51:00,10.280000000000001,28.56489999999994,10.280000000000001,28.56489999999994
2020-10-01 03:52:00,10.293333333333335,28.887407407407363,10.293333333333335,28.887407407407363
2020-10-01 03:53:00,10.2036,29.023633333333333,10.2036,29.023633333333333
2020-10-01 03:54:00,14.5512,28.9455,14.5512,28.9455
2020-10-01 03:55:00,16.016666666666666,29.035166666666665,16.016666666666666,29.035166666666665
2020-10-01 03:56:00,15.726933333333333,28.822706666666665,15.726933333333333,28.822706666666665
2020-10-01 03:57:00,15.6436,28.97954,15.6436,28.97954
2020-10-01 03:58:00,15.559999999999999,28.91812,15.559999999999999,28.91812
2020-10-01 03:59:00,15.476133333333332,29.02090740740745,15.476133333333332,29.02090740740745
2020-10-01 04:00:00,15.392000000000003,29.282400000000003,15.392000000000003,29.282400000000003
2020-10-01 04:01:00,15.411733333333336,29.187389999999997,15.411733333333336,29.187389999999997
2020-10-01 04:02:00,15.431466666666669,29.428473333333333,15.431466666666669,29.428473333333333
2020-10-01 04:03:00,15.5556,29.193366666666723,15.5556,29.193366666666723
2020-10-01 04:04:00,15.575466666666665,29.238386666666663,15.575466666666665,29.238386666666663
2020-10-01 04:05:00,15.595333333333333,29.143283333333333,15.595333333333333,29.143283333333333
2020-10-01 04:06:00,15.6152,28.967777777777734,15.6152,28.967777777777734
2020-10-01 04:07:00,15.635066666666667,32.28397666666667,15.635066666666667,32.28397666666667
2020-10-01 04:08:00,15.549866666666668,39.52584,15.549866666666668,39.52584
2020-10-01 04:09:00,15.569600000000003,38.35557000000001,15.569600000000003,38.35557000000001
2020-10-01 04:10:00,15.589333333333334,38.81018518518526,15.589333333333334,38.81018518518526
2020-10-01 04:11:00,11.812266666666666,39.380963333333334,11.812266666666666,39.380963333333334
2020-10-01 04:12:00,12.4608,39.69188,12.4608,39.69188
2020-10-01 04:13:00,14.5912,39.649206666666664,14.5912,39.649206666666664
2020-10-01 04:14:00,14.6096,39.74128666666667,14.6096,39.74128666666667
2020-10-01 04:15:00,14.628000000000002,39.7285555555556,14.628000000000002,39.7285555555556
2020-10-01 04:16:00,14.521999999999998,39.352533333333334,14.521999999999998,39.352533333333334
2020-10-01 04:17:00,14.521999999999998,39.05689666666667,14.521999999999998,39.05689666666667
2020-10-01 04:18:00,14.416,38.96346,14.416,38.96346
2020-10-01 04:19:00,14.416,38.8231407407407,14.416,38.8231407407407
2020-10-01 04:20:00,14.31,39.3668,14.31,39.3668
2020-10-01 04:21:00,14.31,38.969699999999996,14.31,38.969699999999996
2020-10-01 04:22:00,13.356,39.129259999999995,13.356,39.129259999999995
2020-10-01 04:23:00,10.494,39.06010740740734,10.494,39.06010740740734
2020-10-01 04:24:00,10.600000000000001,38.70584,10.600000000000001,38.70584
2020-10-01 04:25:00,11.66,38.612183333333334,11.66,38.612183333333334
2020-10-01 04:26:00,11.554,38.99131333333333,11.554,38.99131333333333
2020-10-01 04:27:00,10.600000000000001,38.865766666666644,10.600000000000001,38.865766666666644
2020-10-01 04:28:00,10.494,39.10806666666667,10.494,39.10806666666667
2020-10-01 04:29:00,10.494,39.098886666666665,10.494,39.098886666666665
2020-10-01 04:30:00,10.388,39.4446,10.388,39.4446
2020-10-01 04:31:00,10.388,39.85430370370375,10.388,39.85430370370375
2020-10-01 04:32:00,10.388,39.8152,10.388,39.8152
2020-10-01 04:33:00,10.388,39.33266,10.388,39.33266
2020-10-01 04:34:00,10.388,39.18255555555561,10.388,39.18255555555561
2020-10-01 04:35:00,10.388,38.63766666666666,10.388,38.63766666666666
2020-10-01 04:36:00,13.038000000000002,38.389600000000016,13.038000000000002,38.389600000000016
