date,energyFR,Co2EmisFR,price_FR
2020-10-27 01:35:00,0.486,10.692,0.00142965
2020-10-27 01:36:00,0.486,10.692,0.00142965
2020-10-27 01:37:00,0.486,10.692,0.00142965
2020-10-27 01:38:00,0.484,10.648,0.0014237666666666665
2020-10-27 01:39:00,0.484,10.648,0.0014237666666666665
2020-10-27 01:40:00,0.484,10.648,0.0014237666666666665
2020-10-27 01:41:00,0.484,10.648,0.0014237666666666665
2020-10-27 01:42:00,0.456,10.032,0.0013414
2020-10-27 01:43:00,0.4,8.8,0.0011766666666666666
2020-10-27 01:44:00,0.396,8.712,0.0011649
2020-10-27 01:45:00,0.436,9.592,0.0012825666666666665
2020-10-27 01:46:00,0.474,10.427999999999999,0.0013943499999999997
2020-10-27 01:47:00,0.474,10.427999999999999,0.0013943499999999997
2020-10-27 01:48:00,0.496,10.911999999999999,0.0014590666666666667
2020-10-27 01:49:00,0.5820000000000001,12.804000000000002,0.0017120500000000001
2020-10-27 01:50:00,0.578,12.716,0.001700283333333333
2020-10-27 01:51:00,0.574,12.627999999999998,0.0016885166666666665
2020-10-27 01:52:00,0.5720000000000001,12.584000000000001,0.0016826333333333334
2020-10-27 01:53:00,0.524,11.528,0.0015414333333333334
2020-10-27 01:54:00,0.496,10.911999999999999,0.0014590666666666667
2020-10-27 01:55:00,0.496,10.911999999999999,0.0014590666666666667
2020-10-27 01:56:00,0.494,10.868,0.0014531833333333332
2020-10-27 01:57:00,0.494,10.868,0.0014531833333333332
2020-10-27 01:58:00,0.49200000000000005,10.824000000000002,0.0014472999999999999
2020-10-27 01:59:00,0.496,10.911999999999999,0.0014590666666666667
2020-10-27 02:00:00,0.494,10.868,0.0014531833333333332
2020-10-27 02:01:00,0.494,10.900933333333333,0.0014531833333333332
2020-10-27 02:02:00,0.49200000000000005,10.889600000000002,0.0014472999999999999
2020-10-27 02:03:00,0.49,10.878,0.0014414166666666666
2020-10-27 02:04:00,0.45,10.02,0.0013237499999999998
2020-10-27 02:05:00,0.39799999999999996,8.888666666666666,0.0011707833333333333
2020-10-27 02:06:00,0.39799999999999996,8.915199999999999,0.0011707833333333333
2020-10-27 02:07:00,0.39799999999999996,8.941733333333332,0.0011707833333333333
2020-10-27 02:08:00,0.39799999999999996,8.968266666666667,0.0011707833333333333
2020-10-27 02:09:00,0.396,8.9496,0.0011649
2020-10-27 02:10:00,0.39799999999999996,9.021333333333333,0.0011707833333333333
2020-10-27 02:11:00,0.39799999999999996,9.047866666666666,0.0011707833333333333
2020-10-27 02:12:00,0.396,9.0288,0.0011649
2020-10-27 02:13:00,0.39799999999999996,9.100933333333332,0.0011707833333333333
2020-10-27 02:14:00,0.39799999999999996,9.127466666666667,0.0011707833333333333
